millis,id,ax,ay,az,gx,gy,gz,mx,my,mz
7194,2,-0.101695,0.421735,10.039088,0.019853,0.041081,-0.017257,4.56007,39.038291,-0.131541
7240,2,-0.039482,0.55334,9.783655,0.018326,0.041539,-0.017562,4.896229,38.819061,0.014616
7286,2,-0.074178,0.437887,9.92842,0.020617,0.041997,-0.019548,4.311605,38.658287,0.219234
7332,2,-0.113659,0.448654,9.972089,0.023213,0.041997,-0.017715,4.530839,38.395206,0.336159
7378,2,-0.08016,0.417548,9.967902,0.024435,0.03543,-0.019548,4.472376,38.731365,0.36539
7424,2,-0.107677,0.37328,10.046266,0.01573,0.041844,-0.020617,4.223911,38.965217,0.306928
7470,2,-0.102891,0.541974,10.219148,0.027947,0.032834,-0.016493,4.837767,38.497516,0.204619
7516,2,-0.078963,0.241675,10.377673,0.025656,0.036346,-0.017104,4.370067,38.526744,0.014616
7562,2,-0.241077,0.307478,10.394422,0.027947,0.040012,-0.019242,3.858521,38.672904,0.628471
7608,2,-0.596411,2.16012,10.462617,0.023976,0.025962,-0.136223,4.004677,39.009059,0.96463
7653,2,-0.008973,0.251845,9.940982,0.038026,0.034208,-0.015577,4.19468,38.994445,-0.131541
7699,2,-0.867398,2.400001,8.623734,0.04215,0.023824,0.060323,4.501607,38.541362,-0.131541
7746,2,0.284746,0.240479,10.107882,0.008399,0.037721,-0.025045,5.115463,38.336746,-0.438468
7792,2,0.122632,-0.14656,10.000205,0.018784,0.041539,0.049938,4.136218,37.869045,0.204619
7838,2,-0.096909,1.08694,10.15514,-0.16753,0.041997,-0.110261,4.150833,38.015201,0.4677
7884,2,0.437887,-0.692722,9.656236,0.418443,0.038943,-0.238237,4.866998,38.015201,-0.686934
7930,2,0.251845,0.519841,10.001999,0.127213,-0.010537,-0.738842,5.013154,38.497516,0.496931
7976,2,-0.095115,0.332004,9.984053,-0.007636,0.054062,-0.071166,4.983923,38.146739,0.263081
